"","Family","Subfamily","Genus","Species","Sampled"
"139","Salamandridae","Pleurodelinae","Triturus","carnifex",3
"140","Salamandridae","Pleurodelinae","Triturus","cristasus",3
"141","Salamandridae","Pleurodelinae","Triturus","karelinii",3
"142","Salamandridae","Pleurodelinae","Tylotriton","shanjing",3
"143","Salamandridae","Pleurodelinae","Tylotriton","taliangensis",3
"144","Salamandridae","Pleurodelinae","Tylotriton","verrucosus",3
"145","Salamandridae","Salamandrinae","Chioglossa","lusitanica",3
"146","Salamandridae","Salamandrinae","Lyciasalamandra","luschani",3
"147","Salamandridae","Salamandrinae","Mertensiella","caucasica",1
"148","Salamandridae","Salamandrinae","Salamandra","atra",2
"149","Salamandridae","Salamandrinae","Salamandra","salamandra",1
"150","Salamandridae","Salamandrinae","Salamandrina","terdigitata",3
"151","Salamandridae",NA,"Pseudobranchus","striatus",3
"152","Sirenidae",NA,"Siren","intermedia",3
"153","Sirenidae",NA,"Siren","lacertina",3
