"","Genus_Species","Order","Suborder","Family","Subfamily","Genus","Species","SVL_mm","Mass_g","rootmass","ED_right_mm","ED_left_mm","eyemean","CD_right_mm","CD_left_mm","cormean","Gill_Presence","Aquatic","Semiaquatic","Terrestrial","Scansorial","Fossorial","Subfossorial","Cave_dwelling","Nocturnal","Diurnal","Paedomorphic","Metamorphosizing","Direct_Development","Free_living","No_free_living","Lentic_water","Lotic_water","Both_water","No_larva","Females_larger","Males_larger","No_SSD"
"54","Andrias_japonicus","Caudata","Cryptobranchoidea","Cryptobranchidae",NA,"Andrias","japonicus",287,891,9.62260298998748,NA,NA,NA,3.27,3.29,3.28,"no","yes","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes"
"55","Andrias_japonicus","Caudata","Cryptobranchoidea","Cryptobranchidae",NA,"Andrias","japonicus",277,440,7.60590492152278,NA,NA,NA,2.89,3.14,3.015,"no","yes","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes"
"56","Andrias_japonicus","Caudata","Cryptobranchoidea","Cryptobranchidae",NA,"Andrias","japonicus",415,1342,11.0302199320664,NA,NA,NA,4.02,4.08,4.05,"no","yes","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","no","no","yes"
"57","Aneides_aeneus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","aeneus",60,3.78,1.55774823055533,3.78,3.73,3.755,2.47,2.45,2.46,"no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"58","Aneides_aeneus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","aeneus",60,2.77,1.40440787602032,3.9,3.72,3.81,2.8,2.84,2.82,"no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"59","Aneides_aeneus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","aeneus",61,2.74,1.3993193970731,3.78,3.66,3.72,2.85,2.63,2.74,"no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"60","Aneides_ferreus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","ferreus",63,4.05,1.59398785377392,3.37,3.68,3.525,2.5,2.27,2.385,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"61","Aneides_ferreus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","ferreus",58,3.01,1.44385029256496,3.45,3.53,3.49,2.37,2.47,2.42,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"62","Aneides_ferreus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","ferreus",53,2.24,1.30842652407544,3.26,3.33,3.295,2.31,2.43,2.37,"no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","NA","NA","NA"
"63","Aneides_flavipunctatus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","flavipunctatus",62,2.53,1.3626160718106,3.34,3.49,3.415,2.2,2.22,2.21,"no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","no","yes"
"64","Aneides_flavipunctatus","Caudata","Salamandroidea","Plethodontidae","Plethodontinae","Aneides","flavipunctatus",66,2.82,1.41280764437412,3.41,3.26,3.335,2.31,2.01,2.16,"no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","yes","no","no","yes"
