,Genus_Species,eye_av,cor_av,svl_av,rootmass_av,n,Order,Suborder,Family,Subfamily,Genus,Species,Activity Period,Adult Habitat,Development,Life History,Larval Habitat,pglsres.cdmass
69,Eurycea_cirrigera,2.28833333333333,1.83333333333333,38.3333333333333,1.02526533742458,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,cirrigera,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.072211253561584
70,Eurycea_guttolineata,3.32833333333333,2.50833333333333,51.3333333333333,1.37344253804573,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,guttolineata,nocturnal,semiaquatic,metamorphosizing,free-living,lentic water,0.13393579396402
71,Eurycea_longicauda,3.35357142857143,2.50357142857143,53.5714285714286,1.295621754489,7,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,longicauda,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.147957707206328
72,Eurycea_lucifuga,3.67333333333333,2.63166666666667,61,1.23360962147017,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,lucifuga,nocturnal,scansorial,metamorphosizing,free-living,both,0.182112760681425
73,Eurycea_nana,NA,1.095,26.3333333333333,0.67510985483871,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,nana,NA,aquatic,paedomorphic,free-living,lotic water,-0.0452617361156095
74,Eurycea_quadridigitata,1.82166666666667,1.49166666666667,29,0.748498876216243,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,quadridigitata,nocturnal,subfossorial,metamorphosizing,free-living,lentic water,0.0627289702074735
76,Eurycea_tynerensis,1.8275,1.29,40.5,1.01108920735275,2,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,tynerensis,NA,semiaquatic,metamorphosizing,free-living,lotic water,-0.0768964563518102
77,Eurycea_wilderae,1.99,1.54666666666667,35.3333333333333,0.924010529177722,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Eurycea,wilderae,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.0248343302011527
78,Gyrinophilus_porphyriticus,4.2675,2.8325,90.5,2.38498145886337,2,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Gyrinophilus,porphyriticus,nocturnal,semiaquatic,metamorphosizing,free-living,lotic water,0.0462478266042733
79,Hemidactylium_scutatum,2.33333333333333,1.67166666666667,36.6666666666667,0.923872416992799,3,Caudata,Salamandroidea,Plethodontidae,Hemidactyliinae,Hemidactylium,scutatum,nocturnal,terrestrial,metamorphosizing,free-living,lentic water,0.0586253358694228
80,Hydromantes_ambrosii,4.195,3.18333333333333,59,1.51989335277154,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,ambrosii,nocturnal,scansorial,direct development,no free-living,no larva,0.211642834212219
81,Hydromantes_brunus,4.4875,2.8825,65,1.47705267817574,2,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,brunus,nocturnal,scansorial,direct development,no free-living,no larva,0.175807683043163
82,Hydromantes_italicus,4.15666666666667,3.175,61,1.45565304893794,3,Caudata,Salamandroidea,Plethodontidae,Plethodontinae,Hydromantes,italicus,NA,scansorial,direct development,no free-living,no larva,0.221496847261182
